"Title: 1 bedroom with 1 bathroom apartment to rent
PostLink: https://www.facebook.com/marketplace/item/575181964499200/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Location: London"," England
Rental_Price_Posted: £520
FB_Img: https://www.facebook.com/marketplace/item/644261644303183/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Image_Link: https://scontent.fmaa2-2.fna.fbcdn.net/v/t45.5328-4/349913271_6104401283003859_3585210010454643132_n.jpg?stp=c65.0.395.395a_dst-jpg_p526x395&_nc_cat=111&ccb=1-7&_nc_sid=1a0e84&_nc_ohc=MxfNdmKwhHAAX-tjptE&_nc_ht=scontent.fmaa2-2.fna&oh=00_AfCSG3IaUUwM0OnOhyOnjT65d4y1_kSBYkMqf0hGcRpnOQ&oe=64C19C91
---
Title: Apartment For Rent In London - Bills Included -
PostLink: https://www.facebook.com/marketplace/item/3698062760427763/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Location: London", 2 rooms,"London W1S 3NG
PostLink: https://www.facebook.com/marketplace/item/1253859751888609/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Location: London"," England
Rental_Price_Posted: £880
FB_Img: https://www.facebook.com/marketplace/item/1253859751888609/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Image_Link: https://scontent.fmaa2-4.fna.fbcdn.net/v/t39.30808-6/342200329_601230331947378_1273787133675309842_n.jpg?stp=c99.0.395.395a_dst-jpg_p526x395&_nc_cat=104&ccb=1-7&_nc_sid=3b2858&_nc_ohc=MgwS3zL7AYoAX9Kbqpv&_nc_ht=scontent.fmaa2-4.fna&oh=00_AfDHw5MfqVlCp2wMAlD4PiYUqpoHPJBTqpMEbxuM0PUuyw&oe=64C148D3
---
Title: Private room for rent
PostLink: https://www.facebook.com/marketplace/item/1283371392318552/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Location: London"," England
Rental_Price_Posted: £550
FB_Img: https://www.facebook.com/marketplace/item/1414496852734585/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Image_Link: https://scontent.fmaa2-4.fna.fbcdn.net/v/t45.5328-4/357325282_6819023781454734_3817846884751823922_n.jpg?stp=c0.66.403.403a_dst-jpg_p403x403&_nc_cat=104&ccb=1-7&_nc_sid=1a0e84&_nc_ohc=Z9b2Ly4Mwo4AX_Xi4Yw&_nc_ht=scontent.fmaa2-4.fna&oh=00_AfBirPo8zOhsWpzgeHv7soDSLyXcwJ3O8r9bfgb4jPuLNQ&oe=64C2843F
---
Title: Studio for rent in Church Road
PostLink: https://www.facebook.com/marketplace/item/878705359946641/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Location: London"
Private room for rent,https://www.facebook.com/marketplace/item/827331508635066/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£170,"London, England",https://www.facebook.com/marketplace/item/827331508635066/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/827331508635066/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Private Rooms For Rent,https://www.facebook.com/marketplace/item/303054525497984/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£500,"London, England",https://www.facebook.com/marketplace/item/303054525497984/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/303054525497984/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
1 Bed 1 Bath Studio Rent in London,https://www.facebook.com/marketplace/item/1682409575553816/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£850,"London, England",https://www.facebook.com/marketplace/item/1682409575553816/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/1682409575553816/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Private room for rent,https://www.facebook.com/marketplace/item/1187570775259595/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£400,"London, England",https://www.facebook.com/marketplace/item/1187570775259595/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/1187570775259595/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
How to Rent,https://www.facebook.com/marketplace/item/600557118876248/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£800,"London, England",https://www.facebook.com/marketplace/item/600557118876248/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/600557118876248/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Private Room For Rent,https://www.facebook.com/marketplace/item/565877718911721/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£800,"London, England",https://www.facebook.com/marketplace/item/565877718911721/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/565877718911721/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Room,https://www.facebook.com/marketplace/item/595456836072078/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£780,"London, England",https://www.facebook.com/marketplace/item/595456836072078/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/595456836072078/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
for rent,https://www.facebook.com/marketplace/item/195968259729957/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£600,"London, England",https://www.facebook.com/marketplace/item/195968259729957/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/195968259729957/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Private room for rent,https://www.facebook.com/marketplace/item/271164895503699/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£600,"London, England",https://www.facebook.com/marketplace/item/271164895503699/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/271164895503699/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Studio 1 bath Flat,https://www.facebook.com/marketplace/item/520389350237514/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£600,"London, England",https://www.facebook.com/marketplace/item/520389350237514/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/520389350237514/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
1 bed 1 bath,https://www.facebook.com/marketplace/item/980753423070448/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£550,"London, England",https://www.facebook.com/marketplace/item/980753423070448/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/980753423070448/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
1 Bed 1 Bath - Apartment,https://www.facebook.com/marketplace/item/1370358867157045/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£420,"London, England",https://www.facebook.com/marketplace/item/1370358867157045/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/1370358867157045/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
2 beds 1 bath Flat/apartment,https://www.facebook.com/marketplace/item/913626933032785/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,"£1,200","London, England",https://www.facebook.com/marketplace/item/913626933032785/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/913626933032785/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Studio 1 bath - Flat,https://www.facebook.com/marketplace/item/1700405130380864/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£582,"London, England",https://www.facebook.com/marketplace/item/1700405130380864/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/1700405130380864/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
5 beds 2 bathrooms – House,https://www.facebook.com/marketplace/item/803457331456931/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£650,"London, England",https://www.facebook.com/marketplace/item/803457331456931/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/803457331456931/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
1 bed 1 bathroom – Flat,https://www.facebook.com/marketplace/item/306533611714990/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£595,"London, England",https://www.facebook.com/marketplace/item/306533611714990/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/306533611714990/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
1 bed 1 bathroom – Flat,https://www.facebook.com/marketplace/item/1025066688453431/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£500,"London, England",https://www.facebook.com/marketplace/item/1025066688453431/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/1025066688453431/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
1 bed 1 bathroom – Flat,https://www.facebook.com/marketplace/item/828207888665326/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£600,"London, England",https://www.facebook.com/marketplace/item/828207888665326/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/828207888665326/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
1 bed 1 bathroom – Flat,https://www.facebook.com/marketplace/item/1058523231782363/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,"£1,100","London, England",https://www.facebook.com/marketplace/item/1058523231782363/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/1058523231782363/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
"Apartment for rent, 2 rooms, 2 bathrooms ,London SE1 2UP",https://www.facebook.com/marketplace/item/145342535132008/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£890,"London, England",https://www.facebook.com/marketplace/item/145342535132008/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/145342535132008/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Studio 0 bathrooms – House,https://www.facebook.com/marketplace/item/1014726966636083/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,"£45,000","London, England",https://www.facebook.com/marketplace/item/1014726966636083/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/1014726966636083/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Private room for rent,https://www.facebook.com/marketplace/item/891820912535312/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£585,"London, England",https://www.facebook.com/marketplace/item/891820912535312/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/891820912535312/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Private room for rent,https://www.facebook.com/marketplace/item/143608538718449/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£550,"Ilford, England",https://www.facebook.com/marketplace/item/143608538718449/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/143608538718449/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Studio Tower Hill ( Royal Mint St ),https://www.facebook.com/marketplace/item/1262405051307656/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£550,"London, England",https://www.facebook.com/marketplace/item/1262405051307656/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/1262405051307656/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
1 bed 1 bathroom – House,https://www.facebook.com/marketplace/item/997924018039055/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£400,"London, England",https://www.facebook.com/marketplace/item/997924018039055/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/997924018039055/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
"1 bed flat to rent  / 34 Connaught St ,St George's Fields, London W2 2BU",https://www.facebook.com/marketplace/item/854026972544818/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£690,"London, England",https://www.facebook.com/marketplace/item/854026972544818/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/854026972544818/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Private room for rent,https://www.facebook.com/marketplace/item/596353682547814/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£650,"Ilford, England",https://www.facebook.com/marketplace/item/596353682547814/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/596353682547814/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Studio Apartment (ensuite + kitchen) rent and dates are negotiable,https://www.facebook.com/marketplace/item/511269644344736/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,"£1,906","London, England",https://www.facebook.com/marketplace/item/511269644344736/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/511269644344736/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
Private room for rent,https://www.facebook.com/marketplace/item/6031132106941957/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£600,"London, England",https://www.facebook.com/marketplace/item/6031132106941957/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/6031132106941957/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
1 bed 1 bathroom – Flat,https://www.facebook.com/marketplace/item/1717561792016079/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£800,"London, England",https://www.facebook.com/marketplace/item/1717561792016079/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/1717561792016079/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
a room for rent available,https://www.facebook.com/marketplace/item/762756122210834/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,£500,"Ilford, England",https://www.facebook.com/marketplace/item/762756122210834/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD,https://www.facebook.com/marketplace/item/762756122210834/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A12fbe814-2e1b-492e-a7b7-ed182a75d84e&__tn__=!%3AD
